exp,mode,holdout_bin,n_test,rollout_mean_2d_rmse_m,step8_2d_rmse_m,step1_2d_rmse_m,step2_2d_rmse_m,step3_2d_rmse_m,step4_2d_rmse_m,step5_2d_rmse_m,step6_2d_rmse_m,step7_2d_rmse_m,step8_2d_rmse_m
p1a_s0,stratified80,,13,0.0134875,0.0225,0.004,0.007,0.0096,0.0124,0.0155,0.0173,0.0196,0.0225
p1a_s1,stratified80,,13,0.035750000000000004,0.0537,0.0108,0.02,0.0275,0.035,0.042,0.0466,0.0504,0.0537
p1a_s2,stratified80,,13,0.01685,0.0276,0.0051,0.0089,0.0127,0.0163,0.0192,0.0211,0.0239,0.0276
p1b_h46_s0,holdout,4-6,25,0.017975,0.0302,0.0047,0.0093,0.0129,0.0164,0.0198,0.0235,0.027,0.0302
p1b_h46_s1,holdout,4-6,25,0.018887499999999998,0.0322,0.0045,0.0094,0.0135,0.0172,0.0209,0.0248,0.0286,0.0322
p1b_h46_s2,holdout,4-6,25,0.019825,0.0352,0.0043,0.009,0.0131,0.0174,0.0218,0.0267,0.0311,0.0352
p1b_h24_s0,holdout,2-4,20,0.029875,0.0503,0.007,0.0136,0.0199,0.0271,0.0345,0.0408,0.0458,0.0503
p1b_h24_s1,holdout,2-4,20,0.03185,0.0537,0.0072,0.0141,0.021,0.0291,0.0369,0.0436,0.0492,0.0537
p1b_h24_s2,holdout,2-4,20,0.032475,0.0553,0.0077,0.0146,0.0215,0.029,0.0373,0.0445,0.0499,0.0553
